Image,Inference Time (ms),RAM Used (MB)
31t_bmp.rf.520aa88bd4b449e0b114844d67eeb50e.jpg,3925.28,500.13
11_1t_bmp.rf.cafaf14b686c86d2b8c1ebb33f49e913.jpg,142.25,1.88
13_bmp.rf.56fb88dc68a057c157f52ec32e00cbb3.jpg,151.54,3.42
4_1_bmp.rf.2211220c9914fb8e20448a64a02e4f8a.jpg,148.74,-1.45
45_bmp.rf.4365057a77c6a3106586715e2e2d7f64.jpg,184.77,-4.21
10s_bmp.rf.b0d32a5f826aa01b0a19f782b263f577.jpg,163.62,-0.34
15_1t_bmp.rf.0b10ddf3feb823cb2c4b40e6afe57a5a.jpg,158.50,-0.14
48s_bmp.rf.72a8ebd7062eb68f04b9f07946ab394f.jpg,151.23,3.68
2_bmp.rf.919300c45d6b0c14aa82fe44483b7f25.jpg,150.33,0.11
21_1_bmp.rf.7fb502e51c37d75a3bbfd11aeb9a5db1.jpg,153.12,-0.41
20_1t_bmp.rf.8f3c657eaeb38538ac52aba4560b8145.jpg,148.93,0.11
23_bmp.rf.1676097d04de0acef4c12f6b3de71cfd.jpg,151.66,0.11
21t_bmp.rf.6d205469a2808e27203ff174f64319c0.jpg,149.45,0.11
16_1_bmp.rf.76541bdfc96f297f36bdd8eefd9d26f3.jpg,153.24,-0.15
25s_bmp.rf.6e8aeb9038c8024c6de86bddff52f0ea.jpg,149.20,-0.15
17t_bmp.rf.2d2fc163b5b9cb7cea2b37fcb8267c85.jpg,150.68,-1.21
52_1s_bmp.rf.0bd22756807bf5ce31bb1afa1ff0fd21.jpg,151.24,0.36
53_1s_bmp.rf.070dbd52daca9ebec81da298ed973445.jpg,150.95,-0.15
39_1s_bmp.rf.4e45f95e6332e5a49b325b0397d4e849.jpg,151.72,0.11
9_1t_bmp.rf.389dcca1abbab1606681e0fd4ada77ea.jpg,152.29,0.11
6_1s_bmp.rf.3a32abbda0bc451a66ca49cfd57d19f8.jpg,151.74,-3.98
32_1_bmp.rf.cfbd17b11a4e9f409cf44fdc56960812.jpg,152.02,3.68
26s_bmp.rf.96e1c7bfeab1bcaaff2464096284b744.jpg,150.63,-3.72
43_1t_bmp.rf.a44df7dd3425aa8f3e36aa63bc1ef1f9.jpg,151.76,3.93
41_1t_bmp.rf.3229a0f6e64311ffcbbab4d6fcf1ac6d.jpg,149.94,-3.46
22_bmp.rf.0ea5343c57234a4775a0ef8b5627619e.jpg,154.55,3.16
56_1_bmp.rf.d3e2f9439b57b289f8f3568d875c62a0.jpg,153.74,-3.20
19_1_bmp.rf.ab7bf5c7834aa2b45af947d6a3b30557.jpg,152.04,3.16
5_1s_bmp.rf.018e61f9681f600d1cb9c1c8c57d67e7.jpg,151.84,-3.21
3_1s_bmp.rf.b68111a14756bbb17bbf6c6c4810787b.jpg,152.21,3.42
16_1t_bmp.rf.e9623a0d9c47ad306f789d7c05ddaa7b.jpg,152.06,-3.72
4_bmp.rf.f318a1a59a60624a037eb0a50736f063.jpg,152.72,3.93
22s_bmp.rf.8d0d648e1668047dcc1188e71b2a7572.jpg,152.55,-3.98
56_bmp.rf.8ed8775ab833d80a646406835ae19ac3.jpg,154.26,3.93
